,Score
2327,4.0
3481,3.8999999999999995
2454,3.8833333333333333
2303,3.783333333333333
6285,3.566666666666667
2408,3.5
3036,3.4333333333333336
6239,3.3499999999999996
6415,3.316666666666667
3149,3.25
3443,3.216666666666667
2395,3.216666666666667
2344,3.2
2377,3.1500000000000004
3037,3.0999999999999996
2356,3.0666666666666664
6446,3.0166666666666666
6669,2.783333333333333
2301,2.7666666666666666
2360,2.6166666666666667
3661,2.55
1605,2.4999999999999996
2404,2.3666666666666667
2345,2.3666666666666667
3711,2.3333333333333335
3035,2.2833333333333337
2357,2.283333333333333
2383,2.283333333333333
2376,2.283333333333333
6770,2.2666666666666666
3034,2.25
1504,2.1999999999999997
2317,1.9
2885,1.7333333333333334
2891,1.6333333333333333
2379,1.5666666666666669
2603,1.5166666666666666
3706,1.4499999999999997
2881,1.4333333333333336
2882,1.2833333333333332
2883,1.2499999999999998
3044,1.2333333333333334
2330,1.1666666666666667
2324,1.15
2308,1.1333333333333333
3533,1.1166666666666667
2618,1.0999999999999999
3231,1.0666666666666667
2449,0.9666666666666667
2368,0.75
2412,0.7000000000000001
1303,0.6666666666666666
1216,0.5333333333333333
2382,0.4833333333333334
3017,0.48333333333333334
3045,0.4833333333333333
2887,0.4666666666666667
2892,0.2833333333333333
2884,0.25
1519,0.11666666666666667
